"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","CAPITAL","DISTR","SECCION","ENTREV","P0","P0A","P1","P2","P3","P4","P5","P6","P7","P8","P901","P902","P903","P1001","P1002","P1003","P11","P11A","P12","P13","P14","P14A","P15","P15A","P16","P16A","P1701","P1702","P1703","P1704","P1705","P1706","P18","P1901","P1902","P1903","P1904","P1905","P1906","P20","P20A","P21","P22","P23","P24","P2501","P2502","P2503","P2504","P2505","P2506","P26","P27","P27A","P27B","P27C","P27D","P27E","P27F","P28","P29","P30","P31","P32","P32A","P33","P33A","P34","P34A","P35","P36","P37","P38","P38A","P39","P40","P41","P42","P4301","P4302","P4303","P4304","P4305","P4401","P4402","P4403","P4404","P4405","P4501","P4502","P4503","P4504","P4505","P46","P47","P48","P49","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","C4","P20R","P20AR","P21R","VOTOSIMG","P27AR","RECUERDO","P29R","P27DR","ESTUDIOS","OCUMAR11","RAMA09","CONDICION11","ESTATUS"
3247,579,9,8,0,2,3,0,0,0,1,NA,4,8,1,4,1,8,8,8,1,19,6,29,6,22,99,99,98,8,8,NA,8,NA,8,NA,97,98,98,98,98,98,5,98,98,98,98,98,98,2,9,NA,8,3,98,98,98,98,98,98,98,5,7,99,NA,NA,NA,NA,NA,8,97,2,48,3,4,5,NA,5,1,1,1,921,2,3,81,3,3,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,1,999,7,3,3,5,4,999,999,4,5,19,6,18,1,1,NA,1,NA,NA,1,0,2,9,NA,2,99,99,97,NA,3,9,4,7,5
3247,580,9,8,0,2,3,0,0,0,1,NA,3,1,3,2,2,3,2,2,6,21,13,97,99,99,98,99,5,4,1,4,2,2,1,NA,97,6,98,1,9,8,4,5,4,9,0,0,98,4,98,NA,3,3,98,98,98,8,98,98,98,1,5,NA,NA,NA,NA,NA,1,9,4,2,85,3,1,1,2,3,1,1,2,522,1,3,47,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",9,9,9,9,2,999,999,999,999,999,999,999,999,4,5,19,6,19,1,2,13,1,NA,NA,1,0,4,98,NA,4,NA,97,4,NA,1,5,4,8,2
3247,581,9,8,0,2,3,0,0,0,1,NA,3,3,2,3,2,4,3,2,1,12,24,12,1,20,1,98,5,3,1,4,1,5,1,NA,1,1,1,5,5,7,5,4,0,0,0,1,0,9,98,NA,5,4,6,5,10,10,5,4,10,1,1,9,1,1,NA,NA,NA,1,9,1,62,3,2,2,9,1,NA,1,1,611,4,NA,1,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,3,999,10,999,1,1,3,999,999,4,5,19,6,20,1,1,NA,1,NA,NA,1,0,9,98,NA,9,9,9,9,NA,2,6,1,4,3
3247,582,9,8,0,2,3,0,0,0,1,NA,4,3,3,4,2,4,3,2,8,96,99,1,9,96,6,99,3,4,2,NA,1,2,2,3,1,1,4,6,1,3,3,3,0,0,6,6,0,8,6,NA,5,4,2,6,9,8,3,4,10,3,1,8,2,1,NA,NA,NA,8,8,1,25,3,10,6,NA,2,1,2,1,291,2,1,84,9,5,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",9,9,9,9,4,999,999,999,999,999,999,999,999,4,5,19,6,15,2,1,NA,1,NA,NA,1,0,8,6,NA,8,8,8,8,NA,6,2,4,2,1
3247,583,9,8,0,2,3,0,0,0,1,NA,3,2,2,2,2,4,1,1,11,24,1,11,13,1,9,8,6,4,1,8,4,NA,2,3,1,1,97,6,1,7,5,5,0,0,6,6,0,8,9,NA,5,5,2,5,10,10,4,4,10,2,1,6,1,1,NA,NA,NA,1,8,2,41,3,13,6,NA,1,NA,1,1,242,1,3,72,9,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,1,1,5,999,999,999,999,999,999,999,999,4,5,19,6,15,2,1,NA,1,NA,NA,1,0,8,9,NA,8,6,6,8,NA,6,2,4,2,1
3247,584,9,8,0,2,3,0,0,0,1,NA,4,2,8,4,8,3,2,1,9,18,22,8,7,16,5,4,3,4,1,6,2,95,2,2,2,2,98,6,2,3,3,6,0,3,7,2,0,6,2,NA,4,3,1,4,8,8,2,98,10,3,1,21,3,1,NA,NA,NA,2,97,1,35,3,4,6,NA,1,NA,1,1,816,1,3,10,5,5,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",9,9,9,9,6,999,999,999,999,999,999,999,999,4,5,19,6,999,2,2,16,1,NA,NA,1,0,6,2,NA,6,6,6,97,NA,3,8,2,6,4
3247,585,9,8,0,2,3,0,0,0,1,NA,3,2,1,2,2,2,2,2,1,13,6,1,6,20,6,9,5,4,2,NA,1,3,1,NA,1,3,5,5,2,8,5,9,3,2,4,6,0,2,8,NA,1,3,6,7,10,8,3,2,10,3,1,2,1,1,NA,NA,NA,1,2,1,48,3,4,2,2,2,1,2,1,833,1,3,43,6,5,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,7,999,18,6,3,2,8,999,999,4,5,19,6,18,2,1,NA,1,NA,NA,1,0,2,8,NA,2,2,2,2,NA,3,8,3,6,4
3247,586,9,8,0,2,3,0,0,0,1,NA,3,3,3,4,2,4,2,2,1,6,12,8,99,99,9,98,98,4,9,NA,1,95,8,NA,98,98,98,98,98,98,6,98,98,98,98,98,98,8,98,NA,5,5,3,98,98,98,98,98,98,2,1,8,1,1,NA,NA,NA,1,8,2,34,3,4,6,NA,4,1,1,1,512,1,3,56,4,4,3,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",1,1,2,3,8,999,15,8,999,9,7,999,1,4,5,19,6,18,2,1,NA,1,NA,NA,1,0,8,98,NA,8,8,8,8,NA,3,5,4,7,4
3247,587,9,8,0,2,3,0,0,0,1,NA,5,3,1,3,2,5,2,1,7,9,13,99,99,99,1,3,4,3,1,2,1,5,2,3,98,3,97,10,1,1,3,0,0,0,9,9,0,3,4,NA,4,1,3,6,10,5,3,5,10,3,1,8,4,9,NA,NA,NA,1,97,2,24,3,4,1,2,4,2,2,1,361,2,1,84,9,2,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",9,9,9,9,9,999,999,999,999,999,999,999,999,4,5,19,6,16,2,2,16,1,NA,NA,1,0,6,4,NA,6,8,8,97,NA,3,3,4,2,2
3247,588,9,8,187,5,3,0,0,0,1,NA,3,2,1,3,2,3,2,1,13,8,45,97,99,99,11,10,7,2,2,NA,2,3,1,NA,1,1,10,10,1,10,3,8,0,0,8,8,0,6,2,NA,1,3,4,4,10,10,3,4,10,1,1,6,1,1,NA,NA,NA,8,5,2,75,3,2,2,1,3,1,1,2,815,1,3,13,5,5,1,NA,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","28 ","-  ","-  ","-  ","-  ",2,1,1,1,1,999,24,6,1,3,2,3,2,3,5,19,5,19,1,1,NA,1,NA,NA,1,0,6,2,NA,6,6,6,5,NA,2,8,2,8,4
3247,589,9,8,187,5,3,0,0,0,1,NA,4,1,1,4,1,2,1,1,8,11,96,8,99,99,4,6,8,4,1,2,4,NA,2,2,1,2,1,6,1,8,5,10,0,0,6,6,0,2,3,NA,3,3,3,4,9,8,2,2,10,3,1,2,1,1,NA,NA,NA,2,2,1,58,3,6,4,NA,1,NA,3,1,373,4,NA,47,7,6,1,1,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,1,2,999,55,13,6,9,4,2,3,3,5,19,5,17,2,1,NA,1,NA,NA,1,0,2,6,NA,2,2,2,2,NA,4,3,4,1,3
3247,590,9,8,187,5,3,0,0,0,1,NA,4,2,3,3,3,5,3,3,45,12,1,8,29,99,3,8,1,5,2,NA,1,95,3,NA,1,1,1,1,1,1,6,0,0,10,0,0,0,4,97,NA,1,2,99,98,98,98,98,98,98,3,7,99,NA,NA,NA,NA,NA,2,97,2,47,3,4,1,5,4,2,1,2,921,2,1,86,99,99,3,NA,NA,NA,1,NA,"27A","42 ","-  ","-  ","-  ","28 ","-  ","-  ","-  ","-  ",2,1,2,2,3,999,29,10,3,5,5,2,1,3,5,19,5,17,2,1,NA,1,NA,NA,1,0,4,97,NA,4,99,99,97,NA,3,9,4,8,5
3247,591,9,8,187,5,3,0,0,0,1,NA,4,2,2,3,2,3,1,1,11,1,96,13,12,99,7,10,5,1,1,6,4,NA,2,2,1,1,8,8,2,8,3,8,0,0,8,8,0,6,2,NA,4,3,3,6,9,8,2,1,10,2,1,6,1,1,NA,NA,NA,1,5,1,86,3,4,6,NA,1,NA,1,2,361,1,3,49,5,5,1,1,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",1,1,1,1,4,999,19,4,2,3,4,1,2,3,5,19,5,19,2,1,NA,1,NA,NA,1,0,6,2,NA,6,6,6,5,NA,3,3,4,8,2
3247,592,9,8,187,5,3,0,0,0,1,NA,4,2,1,3,2,4,2,1,1,18,13,97,99,99,6,5,8,4,1,2,1,5,2,1,4,5,5,5,6,8,5,10,5,7,4,4,0,2,98,NA,1,3,2,4,8,7,4,4,10,2,1,2,1,1,NA,NA,NA,2,2,2,76,3,2,2,1,1,NA,2,2,815,1,3,13,5,3,1,1,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","28 ","-  ","-  ","-  ","-  ",2,1,2,1,5,999,64,19,5,4,13,2,4,3,5,19,5,20,2,1,NA,1,NA,NA,1,0,2,98,NA,2,2,2,2,NA,2,8,2,8,4
3247,593,9,8,187,5,3,0,0,0,1,NA,4,2,3,2,2,5,3,2,13,18,24,29,99,99,10,9,7,4,1,21,4,NA,2,2,97,8,98,8,6,7,5,8,5,5,8,5,0,2,3,NA,4,3,5,4,9,7,3,4,10,3,1,2,1,1,NA,NA,NA,1,17,2,45,3,4,5,NA,5,1,1,1,921,1,3,81,5,4,1,1,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,6,999,73,19,3,6,39,2,4,3,5,19,5,18,3,2,1,1,NA,NA,1,0,2,6,NA,2,2,2,17,NA,3,9,4,7,5
3247,594,9,8,187,5,3,0,0,0,1,NA,3,2,2,3,2,4,3,3,1,45,96,9,99,99,8,11,1,5,2,NA,2,2,1,NA,1,1,4,4,1,5,5,0,0,0,0,0,0,8,2,NA,5,4,5,6,10,10,2,2,10,3,1,8,1,1,NA,NA,NA,1,8,1,50,3,5,2,2,2,1,1,1,723,2,3,43,6,6,1,NA,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,1,7,999,13,2,2,999,7,999,1,3,5,19,5,17,3,1,NA,1,NA,NA,1,0,8,2,NA,8,8,8,8,NA,5,7,3,6,4
3247,595,9,8,245,5,3,0,0,0,1,NA,2,2,1,2,2,3,2,2,6,1,19,97,99,99,6,5,5,4,2,NA,4,NA,2,2,3,4,5,7,3,10,5,9,0,0,5,5,0,2,97,NA,3,3,3,3,8,7,2,1,10,1,1,2,1,1,NA,NA,NA,2,2,2,73,3,2,2,1,1,NA,1,2,351,1,3,46,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,1,1,999,999,999,999,999,999,999,999,4,5,19,6,15,1,1,NA,1,NA,NA,1,0,2,97,NA,2,2,2,2,NA,2,3,4,8,2
3247,596,9,8,245,5,3,0,0,0,1,NA,3,1,2,3,2,3,1,2,13,8,22,97,99,99,5,4,5,4,2,NA,3,NA,2,2,5,6,5,9,6,9,5,7,3,5,8,5,3,2,97,NA,3,2,4,98,98,98,98,98,98,2,1,2,1,1,NA,NA,NA,2,2,1,58,3,4,2,1,2,1,1,2,843,1,3,49,6,6,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,1,1,2,999,3,999,1,1,1,999,1,4,5,19,6,14,1,1,NA,1,NA,NA,1,0,2,97,NA,2,2,2,2,NA,3,8,4,8,4
