"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","CAPITAL","DISTR","SECCION","ENTREV","P0","P0A","P1","P2","P3","P4","P5","P6","P7","P8","P901","P902","P903","P1001","P1002","P1003","P11","P11A","P12","P13","P14","P14A","P15","P15A","P16","P16A","P1701","P1702","P1703","P1704","P1705","P1706","P18","P1901","P1902","P1903","P1904","P1905","P1906","P20","P20A","P21","P22","P23","P24","P2501","P2502","P2503","P2504","P2505","P2506","P26","P27","P27A","P27B","P27C","P27D","P27E","P27F","P28","P29","P30","P31","P32","P32A","P33","P33A","P34","P34A","P35","P36","P37","P38","P38A","P39","P40","P41","P42","P4301","P4302","P4303","P4304","P4305","P4401","P4402","P4403","P4404","P4405","P4501","P4502","P4503","P4504","P4505","P46","P47","P48","P49","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","C4","P20R","P20AR","P21R","VOTOSIMG","P27AR","RECUERDO","P29R","P27DR","ESTUDIOS","OCUMAR11","RAMA09","CONDICION11","ESTATUS"
3247,1,16,1,59,5,1,0,0,0,1,NA,8,8,8,2,2,3,2,2,13,16,6,13,22,16,98,98,5,3,8,NA,8,NA,1,NA,98,98,98,98,98,98,6,98,98,98,98,98,98,95,97,NA,3,3,4,98,98,98,98,98,98,3,1,95,4,1,NA,NA,NA,1,95,2,49,3,2,6,NA,2,3,3,4,998,4,NA,998,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,1,999,26,4,2,3,999,999,999,9,5,19,4,12,1,1,NA,1,NA,NA,1,0,95,97,NA,95,95,95,95,NA,2,98,8,9,9
3247,2,16,1,59,5,1,0,0,0,1,NA,3,1,2,3,2,8,8,8,11,9,12,9,11,1,6,5,5,3,2,NA,1,3,1,NA,1,3,4,5,2,7,5,7,2,2,5,5,0,2,3,NA,3,3,4,98,98,98,98,98,98,2,1,2,2,1,NA,NA,NA,1,2,2,66,3,7,5,NA,2,1,1,2,581,1,3,96,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,2,999,19,6,1,999,999,999,999,9,5,19,4,14,1,1,NA,1,NA,NA,1,0,2,21,NA,2,2,2,2,NA,5,5,4,8,4
3247,3,16,1,59,5,1,0,0,0,1,NA,3,1,2,3,2,3,2,2,99,99,99,29,9,22,97,98,3,1,2,NA,5,NA,1,NA,1,2,5,6,1,6,8,7,2,3,7,6,1,99,NA,3,3,3,3,7,4,5,7,6,3,3,5,NA,NA,NA,NA,NA,3,1,3,1,47,3,7,6,NA,1,NA,3,1,820,1,3,29,98,6,3,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,3,999,16,7,2,1,999,999,1,9,5,19,4,12,2,1,NA,1,NA,NA,1,0,99,NA,3,21,NA,97,3,NA,5,8,2,6,4
3247,4,16,1,59,5,1,0,0,0,1,NA,5,3,2,4,2,4,3,3,13,11,8,8,13,11,6,98,5,2,8,NA,1,5,1,NA,1,1,3,3,1,6,5,9,1,1,3,1,0,2,98,NA,2,2,4,5,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,1,2,1,35,3,4,2,2,2,3,2,1,512,1,3,56,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,4,999,21,10,1,1,5,999,999,9,5,19,4,15,2,1,NA,1,NA,NA,1,0,2,98,NA,2,2,2,2,NA,3,5,4,7,4
3247,5,16,1,59,5,1,0,0,0,1,NA,3,1,2,2,2,5,2,2,13,1,9,1,9,11,8,98,4,2,1,11,1,2,2,2,1,2,3,3,1,4,5,4,0,0,1,1,0,11,97,NA,4,4,5,6,2,2,3,3,1,1,1,11,1,1,NA,NA,NA,8,11,1,76,3,7,2,2,1,NA,1,2,411,1,3,64,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,5,999,21,3,999,2,1,999,999,9,5,19,4,14,3,1,NA,1,NA,NA,1,0,11,97,NA,11,11,11,11,NA,5,4,4,8,2
3247,6,16,1,59,5,1,0,0,0,1,NA,3,2,2,2,2,4,2,2,11,6,12,11,16,8,98,98,5,2,2,NA,3,NA,2,4,3,3,3,3,7,5,4,5,4,8,4,4,2,4,98,NA,3,3,6,5,2,8,1,1,1,3,1,4,2,1,NA,NA,NA,8,4,2,42,3,11,2,1,1,NA,3,1,251,1,3,69,99,99,9,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,6,999,20,10,999,1,3,999,999,9,5,19,4,13,3,1,NA,1,NA,NA,1,0,4,98,NA,4,4,4,4,NA,6,2,4,2,1
3247,7,16,1,59,5,1,0,0,0,1,NA,2,1,2,3,2,3,1,2,24,11,99,22,6,99,6,9,4,2,8,NA,2,3,2,2,1,1,4,6,1,5,3,5,1,1,7,7,0,3,8,NA,3,3,3,6,1,1,8,8,1,2,1,21,1,1,NA,NA,NA,1,3,2,27,3,13,6,NA,2,2,2,6,211,1,1,86,98,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,7,999,18,9,1,1,4,999,999,10,5,19,5,13,2,1,NA,1,NA,NA,1,0,21,8,NA,21,21,21,3,NA,6,2,4,10,1
3247,8,16,1,59,5,1,0,0,0,1,NA,2,2,2,2,2,3,2,2,16,8,1,1,16,22,98,98,4,3,8,NA,3,NA,1,NA,1,3,2,4,5,6,5,7,4,5,4,4,0,2,98,NA,3,3,4,7,4,5,4,3,1,2,1,2,1,1,NA,NA,NA,1,2,1,62,3,5,2,1,1,NA,3,2,143,3,NA,47,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,8,999,24,12,999,999,4,999,999,10,5,19,5,13,2,1,NA,1,NA,NA,1,0,2,98,NA,2,2,2,2,NA,5,1,4,8,3
3247,9,16,1,59,5,1,0,0,0,1,NA,3,2,2,3,2,4,1,1,1,12,9,1,12,98,6,98,98,2,1,2,2,2,1,NA,1,3,98,5,3,7,5,8,4,5,4,4,0,2,97,NA,3,3,3,8,4,5,4,4,1,1,1,2,1,1,NA,NA,NA,8,2,2,74,3,2,1,5,1,NA,2,3,712,1,3,13,99,99,9,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,1,999,10,2,999,999,999,999,999,7,5,19,2,13,1,1,NA,1,NA,NA,1,0,2,97,NA,2,2,2,2,NA,2,7,2,8,4
3247,10,16,1,59,5,1,0,0,0,1,NA,4,2,2,3,2,5,2,2,13,11,9,11,13,12,5,6,6,5,8,NA,8,NA,1,NA,1,3,6,4,3,5,8,6,3,3,3,5,0,2,3,NA,3,3,3,5,1,1,4,5,1,5,5,NA,NA,NA,NA,NA,1,1,2,1,91,3,7,5,NA,3,1,1,2,812,1,3,24,6,6,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,2,1,12,5,1,2,999,999,999,7,5,19,2,13,1,1,NA,1,NA,NA,1,0,2,21,NA,2,NA,97,2,NA,5,8,2,8,4
3247,11,16,1,59,5,1,0,0,0,1,NA,2,1,2,2,2,3,2,2,9,13,1,11,13,1,97,97,3,1,2,NA,1,2,8,NA,1,3,4,1,3,4,8,4,4,4,1,4,0,97,NA,97,4,4,5,4,4,4,2,4,1,5,5,NA,NA,NA,NA,NA,1,8,97,1,66,3,2,5,NA,2,1,1,2,719,4,NA,81,7,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,3,999,4,2,999,999,999,999,999,7,5,19,2,12,2,1,NA,1,NA,NA,1,0,97,NA,97,97,NA,97,97,NA,2,7,4,8,3
3247,12,16,1,59,5,1,0,0,0,2,351,2,2,2,3,2,3,2,2,13,11,9,9,13,1,98,98,7,4,2,NA,1,98,2,4,1,4,3,3,8,6,5,7,5,7,2,2,1,2,4,NA,3,7,5,6,5,7,4,3,2,3,5,NA,NA,NA,NA,NA,3,8,2,1,37,3,11,2,2,2,3,1,1,820,1,3,29,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,4,999,36,14,8,9,4,999,1,8,5,19,3,14,2,2,1,1,NA,NA,1,0,2,4,NA,2,NA,97,2,NA,6,8,2,6,4
3247,13,16,1,59,5,1,0,0,0,1,NA,3,2,2,2,2,5,2,2,13,11,24,11,13,22,8,9,2,1,1,12,1,2,8,NA,1,1,4,3,1,3,6,4,0,0,4,4,0,12,97,NA,5,5,2,4,1,1,4,5,1,1,1,12,1,1,NA,NA,NA,1,12,2,38,3,12,6,NA,1,NA,3,1,223,1,1,85,99,99,3,NA,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,1,5,999,21,10,3,1,1,999,999,8,5,19,3,11,2,1,NA,1,NA,NA,1,0,12,97,NA,12,12,12,12,NA,6,2,4,2,1
3247,14,16,1,59,5,1,0,0,0,1,NA,3,2,1,2,2,3,1,2,1,13,9,13,11,98,8,98,3,2,2,NA,1,2,1,NA,1,4,4,4,6,6,8,4,3,4,3,3,0,98,NA,11,4,4,5,5,4,5,4,4,2,2,1,99,NA,NA,NA,NA,NA,8,11,1,55,3,5,2,1,1,NA,1,1,753,1,3,61,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,6,999,44,18,4,8,3,999,1,8,5,19,3,13,3,1,NA,1,NA,NA,1,0,98,NA,95,11,99,99,11,NA,5,7,4,6,4
3247,15,16,1,59,5,1,0,0,0,1,NA,3,1,2,2,2,3,2,2,1,13,9,1,11,22,98,98,4,4,2,NA,2,2,1,NA,1,1,4,4,1,5,5,5,1,1,4,4,0,11,98,NA,4,4,4,4,1,2,5,4,1,1,1,11,1,1,NA,NA,NA,1,11,1,54,3,7,2,1,1,NA,1,1,998,1,1,84,99,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,8,999,24,12,2,1,5,999,999,8,5,19,3,13,3,1,NA,1,NA,NA,1,0,11,98,NA,11,11,11,11,NA,5,98,4,12,9
3247,16,16,1,59,5,1,0,0,0,1,NA,3,1,2,3,3,3,2,2,11,13,1,1,9,11,6,9,4,2,8,NA,3,NA,2,2,1,1,8,7,1,7,3,7,0,0,9,9,0,3,2,NA,3,3,2,7,1,1,9,9,1,2,1,21,1,1,NA,NA,NA,1,3,2,32,3,7,6,NA,2,3,2,4,512,1,3,56,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,8,999,32,14,999,999,3,999,999,8,5,19,3,14,3,1,NA,1,NA,NA,1,0,21,2,NA,21,21,21,3,NA,5,5,4,9,4
3247,17,16,1,0,2,3,0,0,0,1,NA,3,8,2,3,2,4,2,2,11,1,18,18,11,23,11,4,7,4,2,NA,2,3,1,NA,1,1,1,5,1,5,5,3,0,0,5,5,0,98,NA,97,4,5,2,99,99,99,99,99,99,3,1,99,NA,NA,NA,NA,NA,2,97,2,43,3,7,2,1,1,NA,2,1,522,1,3,47,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,2,1,999,8,999,999,999,1,999,999,7,5,19,2,11,2,1,NA,1,NA,NA,1,0,98,NA,97,97,99,99,97,NA,5,5,4,5,2
3247,18,16,1,0,2,3,0,0,0,1,NA,3,2,2,3,2,3,2,1,1,18,6,1,6,11,97,97,7,2,1,11,2,3,2,2,1,3,4,5,1,5,5,1,0,0,1,1,0,99,NA,97,5,4,3,5,10,10,4,4,10,1,1,99,NA,NA,NA,NA,NA,1,97,1,40,3,7,1,3,1,NA,1,1,814,2,3,22,98,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,2,2,999,2,999,999,999,999,999,999,7,5,19,2,12,2,1,NA,1,NA,NA,1,0,99,NA,97,97,99,99,97,NA,5,8,2,6,4
3247,19,16,1,0,2,3,0,0,0,2,348,3,3,3,4,3,4,3,2,8,1,22,12,16,29,97,97,4,5,2,NA,1,95,3,NA,5,5,98,4,4,4,6,99,99,99,99,99,99,97,NA,97,5,7,98,98,98,98,98,98,98,3,5,NA,NA,NA,NA,NA,1,1,97,2,63,3,6,2,2,1,NA,3,1,571,2,1,87,98,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,2,2,3,999,10,999,1,999,3,999,999,7,5,19,2,17,3,1,NA,1,NA,NA,1,0,97,NA,97,97,NA,97,97,NA,4,5,4,7,2
3247,20,16,1,0,2,3,0,0,0,1,NA,4,3,2,4,2,3,8,1,1,7,12,22,1,6,6,7,6,4,2,NA,2,3,2,2,98,3,98,6,5,6,5,7,0,0,7,7,0,3,2,NA,4,3,3,4,8,7,3,1,10,3,1,21,1,1,NA,NA,NA,1,97,2,46,3,7,4,NA,2,3,2,4,731,1,3,25,6,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,2,2,4,999,8,999,999,999,2,999,999,7,5,19,2,13,3,1,NA,1,NA,NA,1,0,21,2,NA,21,21,21,97,NA,5,7,2,9,4
3247,21,16,1,0,2,3,0,0,0,1,NA,3,2,2,3,1,3,2,3,1,3,8,1,8,3,97,97,6,3,2,NA,2,5,2,1,1,2,3,3,2,3,6,0,0,0,0,0,0,98,NA,97,3,7,2,6,10,10,5,5,10,3,1,96,NA,NA,NA,NA,NA,8,97,1,46,3,7,6,NA,1,NA,2,1,361,1,1,84,7,1,1,1,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,2,5,999,8,999,999,999,999,999,999,7,5,19,2,14,3,1,NA,1,NA,NA,1,0,98,NA,97,97,96,96,97,NA,5,3,4,2,2
3247,22,16,1,0,2,3,0,0,0,1,NA,3,2,8,2,1,3,2,2,1,18,45,1,12,6,8,11,6,4,2,NA,4,NA,1,NA,1,1,5,5,2,5,5,1,0,0,5,5,0,12,11,NA,5,5,4,98,98,98,98,98,10,2,1,12,1,1,NA,NA,NA,8,97,1,43,3,4,5,NA,1,NA,1,1,719,1,3,81,8,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,2,2,6,999,11,999,1,999,999,999,999,7,5,19,2,17,3,1,NA,1,NA,NA,1,0,12,11,NA,12,12,12,97,NA,3,7,4,6,4
3247,23,16,1,0,2,3,0,0,0,1,NA,3,2,3,3,2,3,2,8,1,8,98,12,29,98,1,98,5,4,2,NA,1,2,1,NA,97,1,98,1,1,4,5,0,0,0,0,0,0,11,12,NA,4,5,5,5,98,98,4,4,10,1,1,11,1,1,NA,NA,NA,1,11,1,70,3,2,2,2,1,NA,1,2,150,1,3,47,7,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,2,7,999,5,999,999,999,2,999,999,7,5,19,2,18,3,1,NA,1,NA,NA,1,0,11,12,NA,11,11,11,11,NA,2,1,4,8,1
3247,24,7,2,3,5,2,0,0,0,1,NA,3,1,1,3,1,3,1,1,96,11,99,96,99,99,4,10,5,4,1,21,2,3,2,3,7,4,8,9,7,8,5,7,3,4,9,7,6,3,17,NA,4,1,3,3,7,6,2,2,9,3,1,21,1,1,NA,NA,NA,2,3,1,25,3,4,2,1,2,3,3,1,511,1,3,56,5,3,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","28 ","-  ","-  ","-  ","-  ",2,2,2,1,6,999,7,1,999,999,5,999,999,11,5,19,6,20,2,1,NA,1,NA,NA,1,0,21,17,NA,21,21,21,3,NA,3,5,4,7,4
3247,25,7,2,3,5,2,0,0,0,1,NA,5,3,3,5,1,5,2,8,8,13,18,1,9,20,97,97,1,5,1,99,2,4,3,NA,8,8,97,1,7,1,1,0,8,7,0,0,8,18,1,NA,3,1,7,3,6,5,1,1,9,3,1,18,1,1,NA,NA,NA,8,18,2,25,3,5,2,2,2,1,2,4,521,2,3,47,98,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","28 ","-  ","-  ","-  ","-  ",2,2,2,1,5,999,8,4,999,999,2,999,999,11,5,19,6,18,1,1,NA,1,NA,NA,1,0,18,1,NA,18,18,18,18,NA,5,5,4,9,1
3247,26,7,2,3,5,2,0,0,0,1,NA,4,2,2,3,1,4,2,1,12,22,1,9,99,99,97,97,1,5,2,NA,8,NA,1,NA,1,1,1,1,1,1,6,7,1,1,1,1,1,96,NA,2,3,3,3,1,10,4,7,2,8,4,5,NA,NA,NA,NA,NA,1,2,97,1,23,3,2,2,2,2,1,3,1,812,2,3,24,7,5,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,4,999,14,8,999,999,4,999,999,11,5,19,6,17,1,1,NA,1,NA,NA,1,0,96,NA,2,96,NA,97,97,NA,2,8,2,6,4
3247,27,7,2,3,5,2,0,0,0,1,NA,3,2,1,2,2,3,2,1,1,13,6,22,6,9,4,9,3,4,1,2,1,2,1,NA,2,1,97,5,6,7,5,6,1,6,5,98,0,2,4,NA,2,1,6,4,8,8,3,3,10,3,1,2,3,1,NA,NA,NA,1,2,2,43,3,11,2,2,1,NA,2,4,282,2,1,84,6,3,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","28 ","-  ","-  ","-  ","-  ",2,3,1,1,3,999,999,999,999,999,999,999,999,11,5,19,6,18,1,1,NA,1,NA,NA,1,0,2,4,NA,2,2,2,2,NA,6,2,4,9,1
3247,28,7,2,3,5,2,0,0,0,1,NA,3,2,8,3,2,3,3,1,1,11,18,1,99,99,9,10,98,5,2,NA,2,2,1,NA,98,1,3,7,3,3,5,8,0,5,6,7,0,2,17,NA,3,3,3,4,6,6,1,1,10,2,1,2,3,1,NA,NA,NA,1,2,2,54,3,4,6,NA,1,NA,2,1,932,1,3,56,6,2,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,2,999,12,2,999,999,6,999,1,10,5,19,5,20,3,1,NA,1,NA,NA,1,0,2,17,NA,2,2,2,2,NA,3,9,4,7,4
3247,29,7,2,3,5,2,0,0,0,1,NA,3,3,2,2,1,4,2,2,11,96,23,8,9,22,4,3,98,4,2,NA,2,3,2,4,2,4,6,4,5,5,6,5,3,4,5,6,1,96,NA,97,4,3,4,5,8,6,4,3,10,3,5,NA,NA,NA,NA,NA,3,1,5,2,22,3,6,6,NA,2,1,2,6,351,1,3,46,99,99,1,NA,NA,NA,NA,NA,"40 ","41 ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",1,2,2,2,1,999,5,1,999,999,999,999,999,10,5,19,5,19,3,1,NA,1,NA,NA,1,0,96,NA,97,96,NA,97,5,NA,4,3,4,10,2
3247,30,7,2,3,5,2,0,0,0,1,NA,3,1,2,3,2,3,2,2,9,1,13,9,99,99,4,99,5,4,2,NA,4,NA,8,NA,4,5,5,5,5,5,8,5,6,6,4,2,5,97,NA,97,3,3,6,4,6,5,4,1,10,3,5,NA,NA,NA,NA,NA,1,2,1,1,41,3,4,2,2,2,3,2,1,841,2,3,49,8,5,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,2,2,1,2,20,4,1,999,5,999,999,6,5,19,1,17,2,1,NA,1,NA,NA,1,0,97,NA,97,97,NA,97,1,NA,3,8,4,6,4
3247,31,7,2,3,5,2,0,0,0,1,NA,3,2,2,2,2,2,2,2,1,12,9,9,7,22,3,9,7,4,1,2,2,5,2,2,1,4,4,7,5,7,5,7,4,4,8,5,0,3,2,NA,4,2,5,3,8,7,4,4,10,3,1,21,3,1,NA,NA,NA,1,3,2,20,3,7,2,2,2,1,2,6,712,1,3,43,98,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,2,999,6,1,1,999,1,999,999,6,5,19,1,18,2,1,NA,1,NA,NA,1,0,21,2,NA,21,21,21,3,NA,5,7,3,10,4
3247,32,7,2,3,5,2,0,0,0,1,NA,3,2,2,3,3,3,3,2,1,18,19,9,6,12,3,99,5,2,1,4,2,95,2,4,5,5,5,5,5,5,4,2,2,5,0,1,3,4,1,NA,3,3,6,3,9,8,5,5,6,3,1,4,3,1,NA,NA,NA,2,4,2,47,3,7,2,2,1,NA,3,1,331,2,1,86,7,5,1,NA,NA,NA,NA,1,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,3,999,5,1,999,999,1,999,999,7,5,19,2,17,1,1,NA,1,NA,NA,1,0,4,1,NA,4,4,4,4,NA,5,3,4,2,1
3247,33,7,2,3,5,2,0,0,0,1,NA,3,1,1,2,2,4,2,8,1,8,13,99,99,99,5,9,4,4,2,NA,2,2,1,NA,1,3,4,4,4,4,5,5,2,2,2,2,0,2,4,NA,3,3,5,5,8,7,3,2,10,3,1,2,3,1,NA,NA,NA,2,97,1,54,3,7,2,2,1,NA,1,1,831,1,2,49,8,8,1,NA,NA,NA,1,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",1,2,1,1,4,999,5,999,999,999,1,999,999,7,5,19,2,18,2,1,NA,1,NA,NA,1,0,2,4,NA,2,2,2,97,NA,5,8,4,6,4
3247,34,7,2,3,5,2,0,0,0,1,NA,2,2,3,2,1,3,3,1,1,35,12,35,1,16,3,10,6,4,2,NA,2,5,2,4,7,5,4,4,6,3,4,5,5,5,0,0,5,4,1,NA,2,1,7,4,7,5,2,1,8,3,1,18,3,2,4,96,NA,1,18,1,33,3,13,2,2,2,3,1,1,215,1,3,94,9,8,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,1,1,5,999,3,1,999,999,2,999,999,7,5,19,2,20,2,2,1,1,NA,NA,1,0,4,1,NA,4,18,18,18,4,6,2,4,2,1
3247,35,7,2,3,5,2,0,0,0,1,NA,4,3,8,4,3,4,3,8,21,13,99,20,21,99,1,2,1,5,2,NA,1,3,1,NA,1,1,1,1,1,1,6,0,1,0,0,0,0,1,97,NA,1,3,99,5,6,5,4,4,98,2,1,1,1,8,NA,NA,NA,1,97,2,55,3,11,1,6,1,NA,3,2,224,1,3,85,8,5,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,6,999,27,6,999,2,13,999,999,7,5,19,2,20,2,1,NA,1,NA,NA,1,0,1,97,NA,1,1,1,97,NA,6,2,4,8,1
3247,36,7,2,0,3,3,0,0,0,1,NA,3,3,3,2,2,4,2,2,13,11,19,19,97,99,98,99,99,5,2,NA,5,NA,1,NA,1,9,1,1,8,3,2,3,9,8,2,0,0,1,4,NA,1,3,9,5,10,8,1,1,3,1,1,1,1,1,NA,NA,NA,8,1,2,72,3,1,2,3,3,1,1,3,951,2,3,1,4,4,1,1,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,3,2,1,999,3,999,999,1,999,1,999,9,5,19,4,16,3,1,NA,1,NA,NA,1,0,1,4,NA,1,1,1,1,NA,1,9,1,8,5
3247,37,7,2,0,3,3,0,0,0,1,NA,3,2,3,3,2,3,2,8,19,1,13,19,97,99,1,2,6,8,8,NA,5,NA,2,5,98,98,98,98,98,98,8,3,8,3,98,0,0,1,98,NA,8,3,8,6,8,98,98,98,98,1,5,NA,NA,NA,NA,NA,1,1,1,2,87,3,2,1,4,3,1,1,3,611,4,NA,1,4,4,1,NA,NA,NA,NA,NA,"22 ","28 ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,2,999,999,999,999,999,999,999,999,9,5,19,4,17,3,1,NA,1,NA,NA,1,0,1,98,NA,1,NA,97,1,NA,2,6,1,8,3
3247,38,7,2,0,3,3,0,0,0,1,NA,4,2,8,3,2,4,2,1,1,11,99,6,12,22,1,4,4,4,1,99,2,95,1,NA,99,99,99,99,99,99,9,99,99,99,99,99,99,99,NA,4,3,3,5,2,9,4,1,1,10,1,1,99,NA,NA,NA,NA,NA,1,99,2,52,3,4,1,6,3,1,1,4,571,5,NA,97,5,5,3,NA,NA,1,NA,NA,"17 ","20 ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,4,2,3,999,999,999,1,3,999,999,999,10,5,19,5,13,2,1,NA,1,NA,NA,1,0,99,NA,4,4,99,99,99,NA,3,5,4,9,2
3247,39,7,2,0,3,3,0,0,0,1,NA,8,2,2,2,2,8,2,8,1,11,98,12,97,99,1,98,6,8,1,1,2,98,3,NA,98,8,98,99,98,6,2,0,10,98,98,0,98,1,97,NA,8,3,8,5,8,98,98,4,98,1,1,1,1,1,NA,NA,NA,8,1,1,84,3,2,2,3,1,NA,1,2,131,1,3,1,4,4,1,NA,NA,1,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,4,999,1,999,999,999,999,999,999,10,5,19,5,17,2,1,NA,1,NA,NA,1,0,1,97,NA,1,1,1,1,NA,2,1,1,8,1
3247,40,7,2,0,3,3,0,0,0,1,NA,3,2,3,2,2,5,2,3,13,1,19,13,22,9,1,11,1,5,2,NA,1,95,1,NA,7,7,4,1,3,1,2,0,10,2,0,0,3,1,4,NA,1,3,7,2,8,5,2,2,10,3,1,18,3,1,NA,NA,NA,1,1,2,40,3,7,2,3,1,NA,2,1,361,1,3,10,8,6,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,2,5,999,6,1,1,2,5,999,999,10,5,19,5,12,2,1,NA,1,NA,NA,1,0,1,4,NA,1,18,18,1,NA,5,3,2,2,2
3247,41,7,2,0,3,3,0,0,0,1,NA,2,1,2,3,2,3,1,2,11,6,1,11,6,1,98,98,7,2,1,2,3,NA,2,2,98,98,98,5,6,7,5,7,6,5,5,5,5,2,4,NA,4,3,5,5,5,5,4,3,5,3,1,2,2,8,NA,NA,NA,2,97,1,28,3,4,5,NA,2,1,2,4,921,2,3,81,6,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,2,2,6,999,18,1,3,1,999,3,999,10,5,19,5,12,2,1,NA,1,NA,NA,1,0,2,4,NA,2,2,2,97,NA,3,9,4,9,5
